Año,Código,Club,Ronda,Liga,Región,Década,SuperLiga,Ciudad,Población,PIB,País,Siglas,PIB_per_cap
1989,PSV,PSV Eindhoven,1,Netherlands,Small,1990,0,Eindhoven,753778,46945,Netherlands,NL,62
1990,MIL,AC Milan,4,Italy,Big 5,1990,1,Milano,5145657,301366,Italy,IT,58
1990,BEN,SL Benfica,3,Portugal,Small,1990,0,Lisbon,2976356,122547,Portugal,PT,41
1990,BMN,FC Bayern,2,Germany,Big 5,1990,0,München,2883373,241407,Germany,DE,83
1990,MAR,Marseille FC,2,France,Big 5,1990,0,Marseille,1260223,53884,France,FR,42
1990,MEC,KV Mechelen,1,Belgium,Small,1990,0,Mechelen,86600,3983,Belgium,BE,45
1990,PSV,PSV Eindhoven,1,Netherlands,Small,1990,0,Eindhoven,753778,46945,Netherlands,NL,62
1990,SOF,CSKA Sofia,1,Bulgaria,East,1990,0,Sofia,1269384,90871,Bulgaria,BG,71
1990,DNI,FC Dniprò Dnipropetrovsk,1,Ukraine,East,1990,0,Dnipropetrovsk,966,7644,Ukraine,UA,7913
1991,BEL,Red Star,4,Serbia,East,1990,0,Belgrade,1281802,90871,Serbia,RS,70
1991,MAR,Marseille FC,3,France,Big 5,1990,0,Marseille,1260223,53884,France,FR,42
1991,BMN,FC Bayern,2,Germany,Big 5,1990,0,München,2883373,241407,Germany,DE,83
1991,SPA,FK Spartak Moscow,2,Russia,East,1990,0,Moscow,12506468,284400,Russia,3,22
1991,POR,FC Porto,1,Portugal,Small,1990,0,Porto,1272189,38974,Portugal,PT,30
1991,DRE,Dynamo Dresden,1,Germany,East,1990,0,Dresden,1341986,52950,Germany,DE,39
1991,RMA,Real Madrid CF,1,Spain,Big 5,1990,1,Madrid,6791667,342534,Spain,ES,50
1991,MIL,AC Milan,1,Italy,Big 5,1990,1,Milano,5145657,301366,Italy,IT,58
1992,BAR,FC Barcelona,4,Spain,Big 5,1990,1,Barcelona,4985549,218318,Spain,ES,43
1992,SAM,UC Sampdoria,3,Italy,Big 5,1990,0,Genova,705175,32391,Italy,IT,45
1992,PRA,Sparta Praga,2,Czechia,East,1990,0,Praha,2216038,131755,Czechia,CZ,59
1992,BEN,SL Benfica,2,Portugal,Small,1990,0,Lisbon,2976356,122547,Portugal,PT,41
1992,KYV,FC Dynamo Kyiv,1,Ukraine,East,1990,0,Kyiv,2884000,8056,Ukraine,UA,2
1992,BEL,Red Star,1,Serbia,East,1990,0,Belgrade,1281802,90871,Serbia,RS,70
1992,AND,RSC Anderlecht,1,Belgium,Small,1990,0,Bruxelles / Brussel,2659855,198355,Belgium,BE,74
1992,PAN,Panathinakos FC,1,Greece,Small,1990,0,Athina,3541591,134254,Greece,EL,37
1993,MAR,Marseille FC,4,France,Big 5,1990,0,Marseille,1260223,53884,France,FR,42
1993,MIL,AC Milan,3,Italy,Big 5,1990,1,Milano,5145657,301366,Italy,IT,58
1993,RAN,Rangers FC,2,Scotland,Small,1990,0,Glasgow,1830710,65684,Scotland,UK,35
1993,BRU,Club Brugge,2,Belgium,Small,1990,0,Brugge,117260,4153,Belgium,BE,35
1993,MOS,CSKA Moscow,1,Russia,East,1990,0,Moscow,12506468,284400,Russia,3,22
